num_guests,run_number,algorithm,num_groups,num_tables_estimated,score,conflicts,exec_time_sec,status
50,1,Greedy,38,10,-19.2,0,0.000335693359375,success
50,1,DSatur,38,10,-36.6143593539449,0,0.0016286373138427734,success
50,1,Tabu Search,38,10,-277.06725319710995,0,1.4268088340759277,success
50,2,Greedy,38,10,-80.4,0,0.0008037090301513672,success
50,2,DSatur,38,10,-30.6143593539449,0,0.0021636486053466797,success
50,2,Tabu Search,38,10,-326.64116943536567,0,1.9503931999206543,success
50,3,Greedy,38,10,-84.17571931984138,0,0.0003352165222167969,success
50,3,DSatur,38,10,-49.14096799382044,0,0.0013225078582763672,success
50,3,Tabu Search,38,10,-322.4190651907117,0,1.6093580722808838,success
50,4,Greedy,38,10,-56.91385523033515,0,0.0003299713134765625,success
50,4,DSatur,38,10,-80.07334486739323,0,0.002270221710205078,success
50,4,Tabu Search,38,10,-325.37569481102264,0,1.6225121021270752,success
50,5,Greedy,38,10,-26.6143593539449,0,0.0004105567932128906,success
50,5,DSatur,38,10,-66.17571931984138,0,0.001706838607788086,success
50,5,Tabu Search,38,10,-318.02051336277844,0,1.475292682647705,success
100,1,Greedy,74,19,-148.1132331366393,0,0.0006005764007568359,success
100,1,DSatur,74,19,-105.4033275599277,0,0.007515907287597656,success
100,1,Tabu Search,74,19,-825.0081322402192,0,15.46547269821167,success
100,2,Greedy,74,19,-99.1311712824276,0,0.0006794929504394531,success
100,2,DSatur,74,19,-177.36167777192895,0,0.00838017463684082,success
100,2,Tabu Search,74,19,-849.6162692661497,0,17.08442759513855,success
100,3,Greedy,74,19,-176.99214837598882,0,0.0005745887756347656,success
100,3,DSatur,74,19,-154.65526573282767,0,0.009560108184814453,success
100,3,Tabu Search,74,19,-750.6015882024398,0,21.127306699752808,success
100,4,Greedy,74,19,-181.37306620286907,0,0.0007114410400390625,success
100,4,DSatur,74,19,-109.11323313663932,0,0.007998943328857422,success
100,4,Tabu Search,74,19,-790.2925002033512,0,16.113070011138916,success
100,5,Greedy,74,19,-122.07785899612406,0,0.0006091594696044922,success
100,5,DSatur,74,19,-120.49006980403864,0,0.007620096206665039,success
100,5,Tabu Search,74,19,-761.84549033699,0,16.747567892074585,success
